Ticker;Nome;Preço (R$);Qualificado?
SANB3;Banco Santander;16.19;0
DMVF3;D1000 Varejo Farma;6.60;0
RNEW3;Renova Energia;1.10;0
LOGN3;Log-In;33.25;0
TAEE3;Taesa;13.68;0
TASA3;Taurus;5.46;0
GGBR3;Gerdau;18.00;0
CAMB3;Cambuci;9.73;0
EUCA4;Eucatex;18.28;0
GOAU3;Metalúrgica Gerdau;8.84;0
TPIS3;Triunfo;5.05;0
UCAS3;Unicasa;1.38;0
TECN3;Technos;7.04;0
HOOT4;Hotéis Othon;6.08;0
ENGI4;Energisa;8.61;0
OIBR4;Oi;1.80;0
RAPT3;Randon;6.20;0
SHOW3;Time For Fun;6.67;0
INEP4;Inepar;1.17;0
NGRD3;Neogrid;28.15;0
CGRA4;Grazziotin;26.98;0
WEST3;Westwing;5.78;0
VSTE3;LE LIS BLANC;3.89;0
JFEN3;João Fortes;1.02;0
BPAC5;Banco BTG Pactual;10.76;0
LAND3;Terra Santa;8.59;0
IGTI3;Iguatemi;2.92;0
IGTI3;Jereissati Participações;2.92;0
DOTZ3;Dotz;4.35;0
COCE5;Coelce;34.79;0
HAGA4;Haga;1.13;0
UNIP3;Unipar;59.39;0
PINE3;Banco Pine;13.00;0
MNPR3;Minupar;4.59;0
ENGI3;Energisa;12.30;0
BRKM3;Braskem;8.00;0
BRSR3;Banrisul;17.70;0
PDTC3;Padtec;1.37;0
TRAD3;Traders Club;3.90;0
WDCN3;WDC Networks;2.72;0
EPAR3;Embpar Participações;4.01;0
DOHL4;Döhler;3.64;0
CEBR6;CEB;28.30;0
WHRL3;Whirlpool;4.27;0
EMAE4;EMAE;43.49;0
CLSC4;Celesc;126.33;0
RSID3;Rossi Residencial;1.60;0
RSUL4;Metalúrgica Riosulense;64.99;0
CGRA3;Grazziotin;27.00;0
AZEV11;Azevedo & Travassos;0.07;0
BSLI3;Banco de Brasília;6.66;0
FICT3;Fictor Alimentos;1.98;0
CRPG5;Tronox Pigmentos;18.98;0
MOAR3;Monteiro Aranha;62.97;0
EQPA3;Equatorial Energia Pará;6.12;0
WLMM4;WLM;21.20;0
WHRL4;Whirlpool;4.63;0
MNDL3;Mundial;15.50;0
PTNT3;Pettenati;8.60;0
LUXM4;Trevisa;4.50;0
EUCA3;Eucatex;20.42;0
FESA3;Ferbasa;12.33;0
ISAE3;ISA Energia;33.51;0
MTSA4;Metisa;47.50;0
EALT3;Electro Aço Altona;14.15;0
PPLA11;PPLA;0.75;0
NUTR3;Nutriplant;2.65;0
PINE11;Banco Pine;21.50;0
NORD3;Nordon;4.05;0
RPMG3;Refinaria de Manguinhos;2.08;0
TELB4;Telebras;7.87;0
OFSA3;Ourofino Saúde Animal;23.30;0
MGEL4;Mangels;5.66;0
TKNO4;Tekno;209.50;0
CEBR3;CEB;27.59;0
BSLI4;Banco de Brasília;7.12;0
PTNT4;Pettenati;4.63;0
OSXB3;OSX Brasil;1.85;0
CEEB3;COELBA;44.75;0
REDE3;Rede Energia;6.23;0
CGAS5;Comgás;130.03;0
DEXP4;Dexxos;7.80;0
BDLL4;Bardella;6.20;0
ARND3;Arandu;1.15;0
CTKA4;Karsten;39.40;0
PEAB4;Participações Aliança da Bahia;38.20;0
GEPA4;Rio Paranapanema Energia;33.00;0
IGTI4;Jereissati Participações;11.40;0
IGTI4;Iguatemi;11.40;0
CEDO4;Cedro Têxtil;10.03;0
ENMT3;Energisa MT;49.21;0
CEBR5;CEB;26.18;0
CBEE3;Ampla Energia;10.98;0
CRPG6;Tronox Pigmentos;18.74;0
EKTR4;Elektro;39.25;0
COCE3;Coelce;34.98;0
HBTS5;Habitasul;31.60;0
EQMA3B;Equatorial Maranhão;30.99;0
PATI3;Panatlântica;29.10;0
WLMM3;WLM;19.62;0
TELB3;Telebras;11.64;0
RPAD5;Alfa Holdings;6.40;0
GSHP3;General Shopping & Outlets;4.20;0
SNSY5;Sansuy;2.84;0
RVEE3;REVEE S.A.;2.30;0
RVEE3;REVEE;2.30;0
CTAX3;Contax;0.94;0
HAGA3;Haga;1.64;0
CTSA4;Santanense;2.02;0
EQPA5;Equatorial Energia Pará;17.00;0
FIEI3;Fica;14.39;0
