Ticker;Nome;Setor;Preço (R$);Último Dividendo;Taxa de Administração
SEED11;Hedge Seed Fundo de Investimento Imobiliario Closed Fund;Indefinido;98.34;0.78;0.9
SDIL11;SDIL11;Imóveis Industriais e Logísticos;96.50;0.75;0.8
SCPF11;SCP Fundo Investimento Imobiliario;Shoppings;2.69;0.02;0.4
SARE11;FII SANT RENCI;Misto;4.80;0.03;0.1
SAPI11;Santander Papeis Imob FII;Misto;8.91;0.21;1
SALI11;SALI11;Misto;-;0.90;0.6
RZZV11;Raiz Desenvolvimento I Fdo Inv Imob Cf;Misto;1.050.00;7.22;1
RZZR11;Raizz RL FII RL;Imóveis Industriais e Logísticos;138.97;1.21;0.9
RZZI11;Raizz Desenvolvimento II FI Imobiliario RL Closed Fund;Misto;1.000.00;4.40;0.5
RZTR11;FI Imobiliario Riza Terrax unica;Misto;97.34;1.00;0.9
RZLC11;Riza Lecci FI Imob RL - Sen;Papéis;1.002.46;13.10;0.7
RZEO11;Riza EOS FI Cadeias Prod Agind - Fiagro - Imo - Un;Indefinido;187.78;2.22;0.5
RZAT11;Riza Arctium Real Estate FII Closed Fund;Imóveis Industriais e Logísticos;89.30;0.85;0.1
RZAK11;Riza Akin Fundo de Investimento Imobiliario FII;Papéis;84.85;1.10;0.3
RZAG11;FI nas Cadeias Prod Ag Riza Agro FIAGRO Imob - Un;Indefinido;8.73;0.15;0.7
RVBI11;RVBI11;Fundo de Fundos;60.23;0.65;0.3
RURA11;Itau Asset Rural Fiagro Imobiliario;Indefinido;8.69;0.11;0.4
RSPD11;RB Capital Desenvolvimento Residencial III - FII;Fundo de Desenvolvimento;850.00;3.02;0.5
RRCI11;RRCI11;Papéis;80.25;2.34;0.3
RPRI11;RBR Premium Recebiveis Imobiliarios FII - Unica;Papéis;87.13;1.24;0.2
ROOF11;Fundo de Investimento Imobiliario Rooftop I;Fundo de Desenvolvimento;350.00;13.55;0.2
RNGO11;FII Imobiliario Rio Negro;Lajes Corporativas;52.07;0.29;0.7
RNDP11;RNDP11;Papéis;40.50;40.38;0.7
RMAI11;RMAI11;Lajes Corporativas;44.30;0.27;0.4
RINV11;Real Investor Fundo de Investimento Imobiliario;Indefinido;108.75;1.05;0.7
RIFF11;RIFF CIC ClI Infraestrutura Renda Fixa RL;Indefinido;7.78;0.01;0.7
RFOF11;Fii Rb Capital I Fundo de Fundos;Fundo de Fundos;63.84;0.65;0.6
RENV11;CPV Energia FII Resp Limitada;Serviços Financeiros Diversos;6.97;0.08;0.7
RELG11;Fundo de Investimento Imobiliario Rec Logistica;Imóveis Industriais e Logísticos;65.71;0.80;0.7
REIT11;Singulare Fundo de Investimento Imobiliario Unica;Papéis;82.11;7.27;0.8
RECT11;FI Imobiliario - FII Rec Renda Imobiliaria;Lajes Corporativas;38.80;0.45;0.2
RECR11;FII Rec Recebiveis Imobiliarios;Papéis;82.97;0.82;0.7
RECM11;Rec Multiestrategia FI Imob RL;Papéis;8.71;0.11;0.4
RECD11;REC Fundo de Cri Cotas Amortizaveis FII RL;Papéis;7.70;1.31;1
RDLI11;RBR Desenv Logistico I - FI Imobiliario RL;Lajes Corporativas;124.99;18.19;0.5
RDIV11;Fundo de Investimento Imobiliario RBR Desenv IV Resp Lim Closed Fund;Outros;100.00;8.00;0.5
RDCI11;RDCI11;Indefinido;-;1.44;0.3
RCRB11;FI Imobiliario Rio Bravo Renda Corporativa;Lajes Corporativas;140.65;0.95;0
RCFF11;Rbr Desenvolvimento Comercial Feeder FOF - FII;Fundo de Fundos;80.00;3.55;0.6
RBVO11;RBVO11;Papéis;5.32;5.66;0.5
RBVA11;FII Rio Bravo Renda Varejo-FII;Varejo;9.94;0.09;0.3
RBTS11;RB Capital TFO Situs FI Imobiliario - FII;Fundo de Desenvolvimento;392.64;7.34;0.1
RBRY11;Fdo Inv Imob Rbr Private Credito Imob Cef;Papéis;98.91;1.25;0.5
RBRX11;RBR Plus Multiestrategia Real Estate FII Closed Fund;Indefinido;8.31;0.09;0.3
RBRS11;Rio Bravo Renda Residencial FI Imobiliario;Fundo de Desenvolvimento;36.10;0.17;0.9
RBRR11;FI Imobiliario RBR Rendimento High Grade;Papéis;87.80;0.80;0.7
RBRP11;FI Imobiliario RBR Properties - FII;Lajes Corporativas;54.73;0.40;0
RBRM11;RBRM11;Fundo de Desenvolvimento;94.794.81;5.302.02;0.2
RBRL11;Rbr Log Fundo de Investimento Imobiliario;Imóveis Industriais e Logísticos;92.46;0.75;0.4
RBRI11;FI Imobiliario FII RBR Desenvolvimento III;Fundo de Desenvolvimento;491.18;103.82;0.1
RBRF11;RBR Plus Multiestrategia Real Estate FII;Fundo de Fundos;6.53;0.33;0.8
RBRD11;RB Capital Renda II FI Imobiliario;Varejo;41.01;0.66;0.2
RBOP11;FI Imo Rio Bravo Oportunidades Imobiliarias - FII;Lajes Corporativas;208.77;0.50;0.5
RBLG11;RB Capital Logistico FI Imobiliario FII;Imóveis Industriais e Logísticos;60.00;0.13;0.2
RBIR11;RB Cap Desenv Residencial IV FII;Fundo de Desenvolvimento;93.17;0.82;0.4
RBIF11;Rio Bravo Fd Incnt Inv em Infrst ESG Renda Fixa CP;Indefinido;74.34;1.80;0.2
RBHY11;Rio Bravo Credito Imobiliario High Yield FII Unica;Papéis;76.70;1.05;0.3
RBHG11;Rio Bravo Credito Imobiliario High Grade FII;Papéis;65.34;0.80;0.8
RBGS11;RBGS11;Shoppings;28.45;0.18;0
RBFY11;Rio Bravo For You Fundo de Investimento Imobilirio de Responsabili;Imóveis Residenciais;70.18;0.24;0.3
RBFF11;Rio Bravo Fundo de FII - Un;Fundo de Fundos;51.94;1.02;0.5
